time,pitch,roll,yaw,BROW_RAISER_LEFT,BROW_RAISER_RIGHT,BROW_LOWERER_LEFT,BROW_LOWERER_RIGHT,SMILE,KISS,MOUTH_OPEN,TONGUE_OUT,EYES_CLOSED_LEFT,EYES_CLOSED_RIGHT,EYES_TURN_LEFT,EYES_TURN_RIGHT,EYES_UP,EYES_DOWN
1480638237.0220001,15.94134,-1.9124019999999999,0.27069270000000001,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,73.0,0.0,100.0,0.0,100.0,0.0
1480638237.3529999,10.615259999999999,0.77530679999999996,-2.1301519999999998,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0
1480638237.51,-2.9133629999999999,-7.1322970000000003,-1.0242439999999999,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,69.0,0.0,100.0
1480638237.6129999,-4.7361259999999996,-7.9447929999999998,-0.53949170000000002,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,100.0
1480638237.7490001,-4.9482249999999999,-8.0652690000000007,-0.4363553,40.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1480638237.8529999,-5.543857,-7.3899499999999998,0.087089330000000006,80.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
1480638237.9690001,-5.5520709999999998,-6.6737890000000002,-0.2380524,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,29.0
1480638238.118,-5.9570980000000002,-5.9959759999999998,0.33866469999999999,100.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
1480638238.2709999,-6.128374,-5.5897249999999996,0.28476790000000002,100.0,20.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,74.0,0.0
1480638238.381,-6.7664710000000001,-5.0950150000000001,0.9015822,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1480638238.493,-7.5237290000000003,-4.5802360000000002,1.2828850000000001,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1480638238.6010001,-7.2072219999999998,-4.2932620000000004,1.1589229999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1480638238.701,-7.2573150000000002,-4.4208400000000001,0.990537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1480638238.796,-7.050656,-4.4514399999999998,1.2018850000000001,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0
1480638238.902,-7.0493449999999998,-4.450564,1.2230479999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0
1480638239.01,-7.0450059999999999,-4.4493910000000003,1.2636000000000001,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1480638239.0999999,-7.0404179999999998,-4.4423029999999999,1.300559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1480638239.2019999,-7.119745,-4.3908129999999996,1.2559709999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1480638239.3050001,-7.1122569999999996,-4.4393479999999998,1.1754020000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0
1480638239.395,-7.0563339999999997,-4.2087199999999996,1.192723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0
1480638239.5020001,-7.0483359999999999,-3.8768150000000001,1.067949,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,100.0,0.0,100.0,0.0
1480638239.6029999,-7.3202920000000002,-3.471174,1.0369029999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,100.0,0.0
1480638239.7049999,-7.4744900000000003,-3.1196299999999999,1.434725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,100.0,0.0
1480638239.7909999,-7.6876870000000004,-2.6068389999999999,3.0313409999999998,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1480638239.8840001,-7.9650420000000004,-2.4187129999999999,3.5627469999999999,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,100.0,0.0
1480638239.971,-8.1852450000000001,-1.4133450000000001,4.7236840000000004,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1480638240.066,-8.1295339999999996,-0.25729950000000001,6.3968059999999998,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
1480638240.152,-8.0425540000000009,-0.19594249999999999,6.8417089999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0
1480638240.237,-8.3948199999999993,0.20254269999999999,7.9158020000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,56.0,100.0,0.0,100.0,0.0
1480638240.3299999,-8.2762779999999996,0.1902954,7.7077349999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1480638240.4260001,-7.9969939999999999,-0.01183292,7.5917510000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1480638240.5369999,-7.4231199999999999,-0.65186060000000001,7.8217990000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,100.0,0.0
1480638240.6329999,-7.3854040000000003,-1.0322610000000001,7.8971400000000003,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,24.0,100.0,0.0
1480638240.7320001,-7.4329320000000001,-1.4902979999999999,8.2030750000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,100.0,0.0
1480638240.8199999,-7.562576,-1.7827139999999999,8.2433440000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,100.0,0.0
1480638240.9170001,-7.5570409999999999,-1.914785,8.2123519999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,100.0,0.0
1480638241.039,-7.4091550000000002,-2.029795,8.1871039999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,100.0,0.0
1480638241.141,-7.4505889999999999,-2.0423870000000002,8.1525610000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,100.0,0.0
1480638241.2920001,-7.5403609999999999,-2.0709749999999998,7.8864049999999999,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
1480638241.3989999,-8.3401010000000007,-1.2494339999999999,7.093534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1480638241.4860001,-8.3227209999999996,-1.243822,7.0634319999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,100.0,0.0
1480638241.5810001,-8.3636510000000008,-1.182563,6.965687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,100.0,0.0
1480638241.671,-8.3475809999999999,-1.1835370000000001,6.9606909999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,100.0,0.0
1480638241.763,-8.2877130000000001,-1.2437990000000001,6.8320360000000004,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,41.0,0.0,100.0,0.0
1480638241.855,-8.2909319999999997,-1.236626,6.7854720000000004,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,41.0,0.0,100.0,0.0
1480638241.948,-8.2892550000000007,-1.2331859999999999,6.7488270000000004,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,100.0,0.0
1480638242.052,-8.3133189999999999,-1.1915279999999999,6.7603770000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,100.0,0.0
1480638242.141,-8.3552440000000008,-1.099083,6.7542270000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,100.0,0.0
1480638242.253,-8.3924280000000007,-1.0782929999999999,6.7260499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,100.0,0.0
1480638242.3559999,-8.4100169999999999,-1.1005419999999999,6.762149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,100.0,0.0
1480638242.471,-8.2956559999999993,-1.0813740000000001,6.7459389999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,100.0,0.0
1480638242.5999999,-8.1325649999999996,-1.0324,6.6723710000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,100.0,0.0
1480638242.721,-7.8514569999999999,-1.040627,6.6922509999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,100.0,0.0
1480638242.839,-7.4545979999999998,-1.030824,6.7024900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,100.0,0.0
1480638242.9649999,-7.4466799999999997,-1.0303370000000001,6.7097619999999996,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,37.0,0.0,100.0,0.0
1480638243.0699999,-7.424404,-1.045612,6.7162309999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,100.0,0.0
1480638243.184,-7.4453170000000002,-1.027558,6.7022539999999999,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,100.0,0.0
1480638243.3010001,-7.4546590000000004,-1.009679,6.6565329999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0,0.0
1480638243.4119999,-7.2702999999999998,-1.0375129999999999,6.4660700000000002,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,58.0,0.0,100.0,0.0
1480638243.5139999,-7.1934490000000002,-0.99388690000000002,6.4226070000000002,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,68.0,0.0,100.0,0.0
1480638243.6210001,-7.1127390000000004,-0.91943520000000001,6.3525939999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,70.0,0.0,100.0,0.0
1480638243.7290001,-6.9688749999999997,-0.86967119999999998,6.1832880000000001,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,74.0,0.0,37.0,0.0
1480638243.8380001,-6.9557479999999998,-0.86758449999999998,6.1780619999999997,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.0,0.0,44.0,0.0
1480638243.9449999,-6.9612670000000003,-0.85609690000000005,6.1116720000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,51.0,0.0
1480638244.056,-6.9638210000000003,-0.85201450000000001,6.1025140000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,54.0,0.0
1480638244.1849999,-6.9536889999999998,-0.85294530000000002,6.0937159999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,58.0,0.0
1480638244.3429999,-6.9572089999999998,-0.84031610000000001,6.0923949999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,64.0,0.0
1480638244.438,-6.9554830000000001,-0.83858390000000005,6.1387280000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,76.0,0.0
1480638244.5610001,-7.0029769999999996,-0.85131120000000005,6.2297060000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,91.0,0.0
1480638244.6530001,-6.9822090000000001,-0.88994499999999999,6.2211800000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,100.0,0.0
1480638244.756,-6.9460410000000001,-0.97337819999999997,6.2178659999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,100.0,0.0
1480638244.859,-6.9935150000000004,-0.99547850000000004,6.0468229999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,22.0,0.0,100.0,0.0
1480638244.967,-6.9957599999999998,-0.99671889999999996,5.9969299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,23.0,0.0,100.0,0.0
1480638245.0569999,-7.0217499999999999,-1.0174019999999999,6.0193719999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,100.0,0.0
1480638245.1570001,-7.0598239999999999,-1.058916,5.9978550000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,100.0,0.0
1480638245.2579999,-7.070246,-1.16316,5.9516460000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,100.0,0.0
1480638245.358,-7.0834440000000001,-1.2612730000000001,6.04908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,100.0,0.0
1480638245.4519999,-7.1772600000000004,-1.4067909999999999,6.1817289999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,100.0,0.0
1480638245.539,-7.2147680000000003,-1.4778990000000001,6.2293500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,100.0,0.0
1480638245.641,-7.2317980000000004,-1.532977,6.2959870000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,100.0,0.0
1480638245.73,-6.9468930000000002,-1.58497,6.4377279999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,49.0,0.0,87.0,0.0
1480638245.836,-6.9306999999999999,-1.6078509999999999,6.4560180000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,49.0,0.0,88.0,0.0
1480638245.9319999,-6.9043270000000003,-1.6456409999999999,6.4226340000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,100.0,0.0
1480638246.0280001,-6.9173119999999999,-1.677362,6.4969999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,100.0,0.0
1480638246.118,-6.9739329999999997,-1.7766850000000001,6.5455629999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,100.0,0.0
1480638246.217,-7.0948260000000003,-1.981997,6.5828350000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,100.0,0.0
1480638246.3039999,-7.057569,-2.1057049999999999,6.3170500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,100.0,0.0
1480638246.392,-6.9724529999999998,-2.2377950000000002,6.282743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,100.0,0.0
1480638246.4920001,-6.9436960000000001,-2.2997399999999999,6.2595929999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,100.0,0.0
1480638246.585,-7.0038400000000003,-2.3517510000000001,6.1209470000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,100.0,0.0
1480638246.6800001,-6.9799629999999997,-2.4213079999999998,6.0799899999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,100.0,0.0
1480638246.777,-6.6775640000000003,-2.2680570000000002,6.1470690000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,46.0,0.0,85.0,0.0
1480638246.8770001,-6.4820359999999999,-2.22471,6.1984300000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,63.0,0.0,0.0,17.0
1480638246.9679999,-6.4786270000000004,-2.2250700000000001,6.205616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,64.0,0.0,0.0,14.0
