time,pitch,roll,yaw,BROW_RAISER_LEFT,BROW_RAISER_RIGHT,BROW_LOWERER_LEFT,BROW_LOWERER_RIGHT,SMILE,KISS,MOUTH_OPEN,TONGUE_OUT,EYES_CLOSED_LEFT,EYES_CLOSED_RIGHT,EYES_TURN_LEFT,EYES_TURN_RIGHT,EYES_UP,EYES_DOWN
1480324544.947,-2.2504179999999998,-7.2964630000000001,2.5700400000000001,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,100.0,21.0,0.0,100.0,0.0
1480324545.3169999,-2.1922929999999998,-10.00315,24.537410000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
1480324545.4619999,-2.7536320000000001,-10.37271,21.527280000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0
1480324545.5599999,-4.9986410000000001,-8.5451200000000007,15.513389999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,62.0,0.0
1480324545.7,-4.7682549999999999,-8.3024389999999997,15.562200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,38.0,0.0
1480324545.8,-5.0651650000000004,-8.2298760000000009,15.3642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,47.0,0.0
1480324545.918,-5.2266719999999998,-7.8626480000000001,14.701029999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,48.0,0.0
1480324546.056,-6.0804029999999996,-7.6410739999999997,11.88147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,33.0,0.0
1480324546.2260001,-6.104584,-7.2163370000000002,9.2920859999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,24.0
1480324546.3329999,-6.2152229999999999,-6.8533910000000002,8.8194540000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
1480324546.4230001,-6.316789,-6.6881659999999998,9.0144979999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,12.0,0.0
1480324546.516,-6.4911890000000003,-6.6754530000000001,8.6202839999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
1480324546.6029999,-6.6904490000000001,-6.5951610000000001,8.3466719999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,21.0,0.0
1480324546.7090001,-6.6843510000000004,-6.5686580000000001,8.4296109999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
1480324546.796,-6.6763050000000002,-6.5277750000000001,8.4519400000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,19.0,0.0
1480324546.8929999,-6.5670950000000001,-6.5014830000000003,8.519463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,57.0,0.0
1480324547.0380001,-6.6086960000000001,-6.5937400000000004,8.1040369999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,93.0,0.0
1480324547.1700001,-6.3948479999999996,-6.4654210000000001,8.2123190000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1480324547.2920001,-5.268313,-6.0602150000000004,8.1911199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1480324547.4070001,-5.3357970000000003,-6.3858750000000004,8.3151030000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1480324547.5090001,-6.381894,-6.3902489999999998,8.5510730000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1480324547.625,-6.2764220000000002,-6.5313650000000001,8.6757270000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
