time,pitch,roll,yaw,BROW_RAISER_LEFT,BROW_RAISER_RIGHT,BROW_LOWERER_LEFT,BROW_LOWERER_RIGHT,SMILE,KISS,MOUTH_OPEN,TONGUE_OUT,EYES_CLOSED_LEFT,EYES_CLOSED_RIGHT,EYES_TURN_LEFT,EYES_TURN_RIGHT,EYES_UP,EYES_DOWN
1479446453.2909999,0.1022641,2.8000829999999999,4.5629929999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,100.0,0.0
1479446453.6070001,2.0392429999999999,3.6141220000000001,4.4189280000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1479446453.777,1.4359489999999999,3.2848709999999999,4.4885200000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1479446453.891,1.181036,3.1865209999999999,4.5656499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1479446454.033,1.150112,2.5882839999999998,4.644933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,83.0,0.0
1479446454.1559999,1.816416,2.5599229999999999,4.6174059999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,13.0
1479446454.2839999,1.7472160000000001,2.5450409999999999,4.5900749999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0
1479446454.457,2.0243340000000001,1.5683400000000001,4.3610939999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
1479446454.6340001,5.2712630000000003,1.76803,4.5367369999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
1479446454.7520001,5.1541589999999999,1.789255,4.5500509999999998,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
1479446454.859,5.0661259999999997,1.7634920000000001,4.435657,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
1479446454.9619999,4.822133,1.781355,4.3730380000000002,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
1479446455.0669999,4.7886810000000004,1.7499290000000001,4.3541879999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
1479446455.1730001,4.7576910000000003,1.738388,4.2900280000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
1479446455.2809999,4.7319490000000002,1.7174940000000001,4.2716339999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,72.0
1479446455.3989999,4.6270090000000001,1.618166,4.2276899999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,53.0
1479446455.516,5.256583,0.84544350000000001,3.7849089999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,90.0,0.0,97.0,0.0
1479446455.615,5.2996749999999997,0.85501780000000005,3.7736149999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,82.0,0.0
1479446455.73,5.2750529999999998,0.77418620000000005,3.6422780000000001,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,76.0,0.0
1479446455.8540001,5.3382449999999997,0.75198319999999996,3.6785999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,71.0,0.0
1479446455.9990001,5.4196900000000001,0.81442389999999998,3.605429,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,85.0,0.0
1479446456.1600001,4.8435189999999997,1.078586,3.4133309999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,16.0
1479446456.2980001,4.8361549999999998,1.1057490000000001,3.355985,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
1479446456.434,4.6948689999999997,1.2799830000000001,3.214127,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,62.0,0.0
1479446456.5739999,4.638401,1.3442149999999999,3.1785130000000001,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,95.0,0.0
1479446456.7,4.5340249999999997,1.451265,3.1261239999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1479446456.8299999,8.5482849999999999,0.46224150000000003,3.381802,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
1479446456.9679999,8.047466,0.52386630000000001,3.5490900000000001,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
