time,pitch,roll,yaw,BROW_RAISER_LEFT,BROW_RAISER_RIGHT,BROW_LOWERER_LEFT,BROW_LOWERER_RIGHT,SMILE,KISS,MOUTH_OPEN,TONGUE_OUT,EYES_CLOSED_LEFT,EYES_CLOSED_RIGHT,EYES_TURN_LEFT,EYES_TURN_RIGHT,EYES_UP,EYES_DOWN
1479964764.898,2.5466980000000001,6.8901050000000001,7.0841070000000004,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,100.0,0.0
1479964765.01,3.1985389999999998,6.7723560000000003,13.33507,0.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,100.0,0.0
1479964765.171,-8.1619449999999993,-0.62950329999999999,14.553710000000001,0.0,0.0,80.0,60.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0
1479964765.267,-8.7547149999999991,3.8960509999999999,13.793710000000001,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0
1479964765.3740001,-21.908249999999999,0.747529,12.386670000000001,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,49.0,45.0,0.0
1479964765.4790001,-4.9026139999999998,0.93542800000000004,9.8795149999999996,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,100.0,100.0,14.0,0.0,0.0,66.0
1479964765.589,-2.7939470000000002,1.4302820000000001,11.68768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
1479964765.6919999,-7.4108720000000003,0.0051870589999999999,8.7431370000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0
1479964765.812,-8.8207450000000005,3.2498499999999999,12.900880000000001,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,100.0,42.0,0.0,65.0,100.0,0.0
1479964765.925,-3.9981140000000002,6.4815370000000003,13.12687,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,98.0,100.0,100.0,0.0,100.0,0.0
1479964766.039,-8.9471070000000008,4.671367,13.59618,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
1479964766.1470001,-9.5762289999999997,2.2912919999999999,14.689209999999999,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
1479964766.2620001,-8.2054729999999996,2.8267410000000002,14.286960000000001,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0
1479964766.3929999,-8.5990210000000005,2.7570049999999999,14.45341,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
1479964766.5120001,0.94793210000000006,7.5605529999999996,14.84435,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,93.0,0.0,100.0,0.0
1479964766.635,2.4836149999999999,6.7538850000000004,14.90785,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1479964766.7420001,-8.8484739999999995,1.7244679999999999,15.925940000000001,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0
1479964766.8699999,-9.1811869999999995,1.652374,16.317920000000001,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
1479964766.9909999,-1.9146259999999999,7.4544480000000002,16.307680000000001,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,70.0,0.0,100.0,0.0
1479964767.1440001,-0.89507479999999995,7.5610080000000002,16.39104,0.0,0.0,40.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,100.0,0.0
1479964767.3710001,-3.356449,4.5425800000000001,13.00461,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
1479964767.5150001,-0.15100259999999999,7.7468969999999997,14.531040000000001,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,100.0,0.0
1479964767.668,-4.3229050000000004,1.654677,16.285019999999999,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,91.0,0.0,100.0,0.0
1479964767.823,-5.7309340000000004,1.1483680000000001,14.807689999999999,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,87.0,14.0,100.0,0.0,100.0,0.0
1479964767.971,0.82428219999999996,8.3482500000000002,16.102589999999999,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
1479964768.1140001,-3.3483960000000002,3.1136680000000001,15.579610000000001,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
1479964768.2409999,-10.86511,-0.36731259999999999,17.501660000000001,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,73.0,0.0
1479964768.3599999,-5.0114869999999998,0.67452559999999995,15.08694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,18.0,0.0,13.0,0.0
1479964768.4890001,4.1409120000000001,5.1539089999999996,15.417820000000001,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,100.0,0.0
1479964768.615,4.5732140000000001,5.8025909999999996,15.60833,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,100.0,0.0
1479964768.7379999,4.7277319999999996,5.8493209999999998,15.611140000000001,0.0,0.0,40.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,100.0,0.0
1479964768.898,4.6269770000000001,5.8453470000000003,15.436349999999999,0.0,0.0,80.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,100.0,0.0
1479964769.0369999,4.8080249999999998,5.8621400000000001,15.33826,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,100.0,0.0
1479964769.1689999,4.788449,5.7988330000000001,15.346579999999999,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,100.0,0.0
1479964769.3210001,4.8108930000000001,5.8868330000000002,15.166410000000001,0.0,0.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,100.0,0.0
1479964769.457,4.8334989999999998,5.8864640000000001,15.10399,0.0,0.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,100.0,0.0
1479964769.6129999,4.8244449999999999,6.0274400000000004,15.05794,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,100.0,0.0
1479964769.7509999,-6.0112509999999997,0.033265030000000001,14.56399,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,88.0,0.0,100.0,0.0
1479964769.8870001,-9.5689419999999998,-0.85181700000000005,13.02225,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1479964770.0239999,5.6237409999999999,4.2003019999999998,10.955590000000001,0.0,0.0,40.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
1479964770.1760001,-1.612976,2.9695529999999999,11.47166,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
1479964770.391,-3.2191890000000001,-0.54532789999999998,12.9907,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
1479964770.5710001,-7.0367470000000001,0.36109219999999997,9.1604120000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0
1479964770.7090001,-7.0607709999999999,0.47610730000000001,8.9731749999999995,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0
