time,pitch,roll,yaw,BROW_RAISER_LEFT,BROW_RAISER_RIGHT,BROW_LOWERER_LEFT,BROW_LOWERER_RIGHT,SMILE,KISS,MOUTH_OPEN,TONGUE_OUT,EYES_CLOSED_LEFT,EYES_CLOSED_RIGHT,EYES_TURN_LEFT,EYES_TURN_RIGHT,EYES_UP,EYES_DOWN
1480912957.8770001,-2.0355219999999998,-2.1955439999999999,8.386298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,16.0
1480912958.256,-2.061051,-1.957333,8.0521849999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,65.0
1480912958.405,-2.0313509999999999,-1.7947390000000001,8.1600210000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,11.0,0.0,100.0
1480912958.5039999,-1.8849180000000001,-1.709144,8.1627390000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
1480912958.6329999,-1.8318410000000001,-1.60545,8.1141760000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
1480912958.733,-1.856908,-1.5944560000000001,8.0508190000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1480912958.842,-1.8663000000000001,-1.594495,8.0770710000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1480912959.0139999,-1.921538,-1.5988180000000001,8.0229479999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1480912959.1059999,-1.952464,-1.6225350000000001,8.042529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1480912959.201,-1.9696689999999999,-1.625637,8.0585690000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,100.0
1480912959.302,-2.0362840000000002,-1.6408929999999999,7.9206880000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,100.0
1480912959.392,-2.074357,-1.644255,7.9070609999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,100.0
1480912959.48,-2.1735139999999999,-1.684272,7.8571270000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,100.0
1480912959.5710001,-2.0839370000000002,-1.7362580000000001,7.7951459999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,11.0,0.0,100.0
1480912959.6670001,-2.0106039999999998,-1.7414609999999999,7.8338219999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
1480912959.76,-1.9826809999999999,-1.7691570000000001,7.8359319999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0
1480912959.8670001,-1.9027639999999999,-1.8741319999999999,7.8836750000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,11.0,0.0,100.0
1480912959.983,-1.919681,-1.9221189999999999,7.8922920000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,15.0,0.0,0.0,100.0
1480912960.0780001,-1.9445699999999999,-1.9660899999999999,7.9292470000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,100.0
1480912960.1700001,-1.944734,-2.009128,7.8993979999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,100.0
1480912960.273,-1.9384969999999999,-2.0344519999999999,7.90395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,100.0
1480912960.3699999,-1.9723839999999999,-2.0996350000000001,7.9327719999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,100.0
1480912960.471,-1.939616,-2.092212,7.8851329999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,100.0
1480912960.5699999,-1.891113,-2.1812849999999999,7.8325740000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,100.0
1480912960.691,-1.8720019999999999,-2.1961710000000001,7.8326419999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,100.0
